SPECIES_GROUP,LENGTH,RANGE,ERROR,HX,HY,HZ
Adult_pollock,,233,16.65090749,-88.71268177,213.2917873,-30.43234087
Adult_pollock,,189.19,1.096239543,-27.37872397,187.161436,3.774517215
Adult_pollock,,284.53,1.80961441,-86.69784573,268.6747735,-35.42292288
Adult_pollock,,338.09,1.356014163,-44.16932562,328.456794,-66.87480982
Adult_pollock,,140.84,1.115270538,53.94495896,123.9643241,-39.47091001
Adult_pollock,,261.08,0.808812949,-23.4204583,250.3006447,70.45471664
Adult_pollock,,141.58,4.331556475,53.07943787,130.9516924,-8.909459725
Adult_pollock,,211.48,1.11034078,-58.62680123,198.0055068,45.62081063
Adult_pollock,,277.32,1.533104786,-66.94380268,269.0021556,-7.959526907
Adult_pollock,,337.38,1.327149687,-119.1174558,314.8198914,-22.86978559
Adult_pollock,21.13,156.58,3.259251595,62.96252189,129.9572644,-7.554025329
Adult_pollock,,131.46,1.266975639,-23.19132747,121.8650102,-43.4929801
Adult_pollock,,238.57,8.95203625,-89.3152229,218.6397069,33.67610469
Adult_pollock,,376.77,1.217288937,-83.55448196,362.9181953,57.15150657
Adult_pollock,20.51,159.87,2.417911931,53.62565822,136.4125837,-32.32791092
Adult_pollock,,157.55,0.421092009,61.6943769,139.8124562,-38.31186968
Adult_pollock,,357.07,1.176097824,75.14617639,348.3369668,22.58351045
Adult_pollock,,387.44,1.642386862,-71.1304377,378.410132,43.08690048
Adult_pollock,,257.64,0.863464667,-81.93475195,241.0618343,39.4230658
Adult_pollock,21.26,225.81,0.716606124,-27.60725922,218.3569458,46.94857718
Adult_pollock,,357.56,1.389606668,-61.09774361,347.2873444,59.20898704
Adult_pollock,,543.48,6.307308559,-132.8990721,526.9709565,-2.522411613
Adult_pollock,,258.23,10.19879609,-22.19493674,242.0619512,-87.1673095
Adult_pollock,,170.32,1.772081093,17.46048392,164.8300205,-39.19527096
Adult_pollock,22.53,251.62,1.358680616,15.84199366,240.4284244,-51.58645242
Adult_pollock,22.27,269.7,0.472005108,-53.94597838,252.2287414,23.82600625
Adult_pollock,24.4,247.83,0.702884581,-5.387815391,250.4195292,37.91055509
Adult_pollock,,402.83,2.485971002,-29.20198387,398.5303946,50.88952835
Adult_pollock,19.07,182.75,1.031022097,33.2989664,176.3275281,7.199821403
Adult_pollock,,261.8,0.644193418,5.959988961,257.1450862,48.79101727
Adult_pollock,,304.99,0.920413078,-51.40822743,300.4185403,11.1458548
Adult_pollock,19.06,137.01,1.828172667,-1.493727994,133.8149935,-35.83820072
Adult_pollock,,168.62,0.333622274,27.75494152,158.6372854,-49.95830849
Adult_pollock,,307.55,2.048082584,-93.10658478,292.8261166,-13.17146305
Adult_pollock,,287.45,2.094613364,-89.49241312,268.0027457,52.83545862
Adult_pollock,,516.36,10.34731769,49.36576619,504.6968892,97.34204188
Adult_pollock,,265.4,2.570709133,28.44784255,263.7922954,-6.565877789
Adult_pollock,,164.21,0.229756344,39.03146521,159.1047441,11.29378972
Adult_pollock,,341.35,0.979572899,-100.9056686,326.0787532,3.420280045
Adult_pollock,,333.1,1.018302811,-43.50900711,326.9993019,-46.18617964
Adult_pollock,,163.2,1.587905543,0.075581842,160.2121917,-31.10509827
Adult_pollock,,283.59,1.104798236,24.23303766,282.5487156,0.427353013
Adult_pollock,18.13,314.61,0.532521,35.30155077,310.8004091,25.13788044
Adult_pollock,,409.39,0.219897936,-64.83634127,403.9514515,-14.93741175
Adult_pollock,,304.95,1.091624808,6.39412518,291.7390368,88.55359571
Adult_pollock,,168.52,1.502234749,54.95921496,158.884164,-11.57146703
Adult_pollock,22.34,247.44,0.758408232,67.14017344,225.9474083,-46.51771548
Adult_pollock,,419.91,1.063925986,112.4651221,402.8329371,37.47425197
Adult_pollock,,404.78,0.960274481,20.75240398,392.2143647,97.88262021
Adult_pollock,,342.57,0.015418704,-10.83529923,333.6735567,76.80014231
Adult_pollock,,298.84,0.850288166,32.34220481,296.9156711,10.11004006
