deployment_id,range,dist_cov
Day 5:103:D1D34T103,115.46,2.5831231513522
Day 5:103:D1D34T103,116.21,2.5831231513522
Day 5:103:D1D34T103,138.21,2.5831231513522
Day 5:103:D1D34T103,132.37,2.5831231513522
Day 5:103:D1D34T103,278.14,2.5831231513522
Day 5:103:D1D34T103,96.47,2.5831231513522
Day 5:103:D1D34T103,127.9,2.5831231513522
Day 5:103:D1D34T103,132.71,2.5831231513522
Day 5:103:D1D34T103,143.67,2.5831231513522
Day 5:103:D1D34T103,239.57,2.5831231513522
Day 5:103:D1D34T103,203.73,2.5831231513522
Day 5:103:D1D34T103,94.7,2.5831231513522
Day 5:103:D1D34T103,274.55,2.5831231513522
Day 5:103:D1D34T103,690.95,2.5831231513522
Day 5:103:D1D34T103,64.48,2.5831231513522
Day 5:103:D1D34T103,201.12,2.5831231513522
Day 5:103:D1D34T103,217.22,2.5831231513522
Day 5:103:D1D34T103,179.94,2.5831231513522
Day 5:103:D1D34T103,86.45,2.5831231513522
Day 5:103:D1D34T103,113.67,2.5831231513522
Day 5:103:D1D34T103,185.38,2.5831231513522
Day 5:103:D1D34T103,152.24,2.5831231513522
Day 5:103:D1D34T103,78.66,2.5831231513522
Day 5:103:D1D34T103,82.42,2.5831231513522
Day 5:103:D1D34T103,98.4,2.5831231513522
Day 5:103:D1D34T103,113.06,2.5831231513522
Day 5:103:D1D34T103,66.86,2.5831231513522
Day 5:103:D1D34T103,78.25,2.5831231513522
Day 5:103:D1D34T103,172.78,2.5831231513522
Day 5:103:D1D34T103,132.21,2.5831231513522
Day 5:103:D1D34T103,279.41,2.5831231513522
Day 5:103:D1D34T103,521.82,2.5831231513522
Day 5:103:D2D31T103,113.76,3.59504400830455
Day 5:103:D2D31T103,175.34,3.59504400830455
Day 5:103:D2D31T103,277.39,3.59504400830455
Day 5:103:D2D31T103,427.88,3.59504400830455
Day 5:103:D2D31T103,225.22,3.59504400830455
Day 5:103:D2D31T103,263.9,3.59504400830455
Day 5:103:D2D31T103,273.7,3.59504400830455
Day 5:103:D2D31T103,440.87,3.59504400830455
Day 5:103:D2D31T103,261.15,3.59504400830455
Day 5:103:D2D31T103,441.27,3.59504400830455
Day 5:103:D2D31T103,339.2,3.59504400830455
Day 5:103:D2D31T103,242.74,3.59504400830455
Day 5:103:D2D31T103,193.59,3.59504400830455
Day 5:103:D2D31T103,491.35,3.59504400830455
Day 5:103:D2D31T103,163.04,3.59504400830455
Day 5:103:D2D31T103,260.6,3.59504400830455
Day 5:103:D2D31T103,138.6,3.59504400830455
Day 5:103:D2D31T103,146.82,3.59504400830455
Day 5:103:D2D31T103,160.14,3.59504400830455
Day 5:103:D2D31T103,156.81,3.59504400830455
Day 5:103:D2D31T103,155.86,3.59504400830455
Day 5:103:D2D31T103,161.05,3.59504400830455
Day 5:103:D2D31T103,175.37,3.59504400830455
Day 5:103:D2D31T103,285.42,3.59504400830455
Day 5:103:D2D31T103,306.13,3.59504400830455
Day 5:103:D2D31T103,321.01,3.59504400830455
Day 5:103:D2D31T103,282.46,3.59504400830455
Day 5:103:D2D31T103,356.47,3.59504400830455
Day 5:103:D2D31T103,584.7,3.59504400830455
Day 5:103:D2D31T103,746.99,3.59504400830455
Day 5:103:D2D31T103,246.51,3.59504400830455
Day 5:103:D2D31T103,335.32,3.59504400830455
Day 5:103:D2D31T103,270.47,3.59504400830455
Day 5:103:D2D31T103,221.8,3.59504400830455
Day 5:103:D2D31T103,255.84,3.59504400830455
Day 5:103:D2D31T103,255.08,3.59504400830455
Day 5:103:D2D31T103,312.68,3.59504400830455
Day 5:103:D2D31T103,177.41,3.59504400830455
Day 5:103:D2D31T103,398.1,3.59504400830455
Day 5:103:D2D31T103,199.15,3.59504400830455
Day 5:103:D2D31T103,244.52,3.59504400830455
Day 5:103:D2D31T103,182.06,3.59504400830455
Day 5:103:D2D31T103,185.21,3.59504400830455
Day 5:103:D2D31T103,226.87,3.59504400830455
