SPECIES_GROUP,RANGE,ERROR,HX,HY,HZ
Sarsia sp,54.36,0.776052083,1.344652918,52.02256677,-15.72240285
Sarsia sp,89.76,0.654056052,24.89543204,85.9258274,-7.290799966
Sarsia sp,47.78,1.332197486,13.61826417,45.47461956,-5.405003427
Sarsia sp,99.74,7.445012511,6.460033698,98.66836273,-13.06518831
Sarsia sp,68.92,1.174568856,17.8322543,64.35492725,17.05543394
Sarsia sp,91.31,1.121283792,20.95996889,88.82508215,-2.846064559
Sarsia sp,77.12,0.789018971,-4.852317097,76.39516399,9.346176165
Sarsia sp,101.64,7.247902997,-2.416169257,101.0129434,-10.97960423
Sarsia sp,60.02,4.845886154,-5.774153189,56.57488692,19.18482216
Sarsia sp,106.34,1.475553528,-9.403013993,103.1601443,24.03087025
Sarsia sp,102.35,0.727688031,-13.81118114,97.01761042,29.52730709
Sarsia sp,95.51,1.002083615,10.44627241,93.25814667,17.7899433
Sarsia sp,106.14,0.037690368,-11.24759139,104.8951616,11.71295878
Sarsia sp,66.17,0.999191923,11.50744271,62.3891095,-18.78902275
Sarsia sp,77.58,0.943472262,-8.192681205,73.33965432,-23.93071313
Sarsia sp,33.11,0.106213548,3.385753665,32.76172112,-3.373467842
Sarsia sp,104.92,16.80336783,-3.904871261,100.0314825,31.42161
Sarsia sp,60.84,0.908999867,16.2416348,58.22244731,-6.91321156
Sarsia sp,99.82,3.236534689,1.419766861,94.93930622,30.79470335
Sarsia sp,81,0.205381881,18.56280932,78.82344265,-1.846335029
Sarsia sp,89.79,0.628233669,-2.409597693,89.60161025,-5.330967388
Sarsia sp,44.93,6.552190886,-2.727338019,44.05421336,-8.410880941
Sarsia sp,81.84,0.797016836,2.910072601,79.57880874,-18.87692278
Sarsia sp,92.1,1.179173629,25.3600326,87.90945577,-10.51588168
Sarsia sp,70.67,9.775133467,30.55768491,63.28550755,7.444310118
Sarsia sp,73.79,0.052239599,9.929682479,72.95737836,4.867704899
Sarsia sp,85.31,0.596267061,12.60177393,80.76282616,-24.417229
Sarsia sp,83.39,0.365251827,-11.41746597,82.56407484,2.674886675
Sarsia sp,83.54,1.903877782,-6.462062032,81.59602498,-16.69285241
Sarsia sp,103.41,0.244772866,34.85510349,96.56482644,12.38180727
Sarsia sp,106.87,0.354310677,13.94353689,105.3741512,11.12819619
Sarsia sp,115.59,0.233288223,-6.704808843,114.8082179,11.6261415
Sarsia sp,110.85,0.095578427,25.93836141,107.0828967,12.16937561
Sarsia sp,99.13,0.586098593,-5.230290922,94.87404664,28.26479018
Sarsia sp,116.7,0.215451422,5.254070636,116.3672945,6.996317362
Sarsia sp,127.74,0.150343256,-11.9912412,127.0450793,5.775081659
Sarsia sp,51.64,0.490753057,7.047824396,51.07207475,-2.885392899
Sarsia sp,74.62,0.877561275,21.0781872,70.27558303,13.61659561
Sarsia sp,79,0.796624708,0.40743126,78.02580871,12.38447664
Sarsia sp,67.57,1.10525208,17.18999753,64.98211583,-6.870621875
Sarsia sp,78.93,0.0310645,-3.699960403,78.50842312,-7.227856035
Sarsia sp,60.57,2.075276808,18.67615425,55.45909108,-15.62689437
Sarsia sp,70.13,0.91020162,-2.140307243,67.70340066,-18.15856999
Sarsia sp,84.09,1.953228798,23.4691732,-79.44722681,14.41166677
Sarsia sp,99.88,0.804616855,20.52561996,97.56411425,-6.034735565
Sarsia sp,107.59,0.092750252,-1.827816966,107.20907,-8.845437995
Sarsia sp,90.55,0.227015263,33.05917689,84.28122626,-1.585764209
Sarsia sp,103.7,0.188580758,-8.022897229,103.0936467,-7.750007692
Sarsia sp,94.86,0.44113369,12.93374829,93.84797967,-4.769907142
Sarsia sp,61.73,0.867563753,2.580004674,59.29406661,-16.96003815
Sarsia sp,37.34,1.110709661,2.384947701,37.06953192,3.828355099
Sarsia sp,71.35,8.639398827,30.68570068,64.40294454,1.075833071
Sarsia sp,72.6,0.555813219,12.20365842,71.40889062,-4.723643712
Sarsia sp,79.76,0.340529858,-5.839889631,79.21690986,-7.197333845
Sarsia sp,83.23,0.836666836,33.40854087,76.07598602,-4.841708593
Sarsia sp,47.72,0.740654639,15.13521967,45.20242592,-2.212444413
Sarsia sp,104.27,0.50936394,20.01172922,101.5264298,12.84219141
Sarsia sp,71.16,5.083458786,25.58571297,63.45884522,19.55060382
Sarsia sp,75.52,0.157776438,7.998751749,73.96559311,12.97643972
Sarsia sp,85.18,1.105646451,-8.826529158,84.42129912,7.145370516
Sarsia sp,88.16,0.578885395,24.71471805,84.301896,-7.371637499
Sarsia sp,95.03,0.594329686,3.288209041,94.3855362,-10.57000039
Sarsia sp,47.38,0.222871795,6.338115382,46.79018846,-3.861119873
Sarsia sp,54.93,8.188493511,0.841269498,51.68481601,18.57060096
Sarsia sp,124.79,0.777696254,17.97937841,122.3300527,16.88828378
Sarsia sp,69.28,8.40048818,-4.657309193,65.82291303,21.1126975
Sarsia sp,80.19,0.535155465,25.49536223,74.04994607,17.24218308
Sarsia sp,81.55,0.397412502,11.03911021,80.3290474,8.691950312
Sarsia sp,86.54,0.523220575,-2.605164148,86.4941213,0.684109385
Sarsia sp,104.41,0.277230017,30.41927896,99.84205092,-2.926195508
Sarsia sp,76.89,0.70753617,24.59951066,72.32416147,-8.744516002
Sarsia sp,110.06,0.223171444,11.14017565,109.313189,-6.267537379
Sarsia sp,119,0.520411313,-8.237961217,118.4049836,-8.585270455
Sarsia sp,37.04,1.478469258,11.82986341,34.45947286,6.683022792
Sarsia sp,76.83,0.383944809,4.927446484,72.75994079,-24.17403736
Sarsia sp,97.79,0.91910309,18.92550995,94.30376655,17.63710808
Sarsia sp,102.98,0.575013898,1.775486658,102.5737803,8.954119313
Sarsia sp,83.1,0.411575326,24.63278426,79.34767205,1.867560133
Sarsia sp,53.14,0.667532253,18.19747783,49.90122157,1.497752445
Sarsia sp,107.62,0.136515934,32.38753015,101.9007299,12.2619487
Sarsia sp,88.5,0.0933706,9.899301878,87.8713661,-3.561823122
Sarsia sp,59.27,0.506635636,2.694819823,59.03657821,-4.493140996
Sarsia sp,112.04,0.57126669,20.1484235,110.0041135,6.784250154
Sarsia sp,119.39,0.280089992,7.346983798,119.1385417,2.385062375
Sarsia sp,47.48,11.28375026,15.74742342,42.75418939,13.34187599
Sarsia sp,86.41,0.641346325,18.15268239,82.76111428,16.98843613
Sarsia sp,34.17,2.45915883,1.694731324,33.20256708,7.90510586
Sarsia sp,50.48,1.440226324,-2.051363375,50.02842697,6.397708005
Sarsia sp,90.53,0.542409722,5.419003635,89.87176071,9.48114599
Sarsia sp,98.93,0.369242415,-5.386863226,98.61984567,5.765108558
Sarsia sp,64.08,5.279253303,0.276172633,60.48156969,21.17305306
Sarsia sp,74.87,0.762897535,-16.64057042,70.24857683,19.83315031
Sarsia sp,60.42,0.609197391,11.47410274,59.28253093,2.039729042
Sarsia sp,76.3,1.641426873,-9.899789431,73.51284215,-17.86799879
Sarsia sp,51.53,0.211043337,-2.653875853,50.99030829,6.972738809
Sarsia sp,64.77,3.494748844,8.155395027,60.58509949,21.4002328
Sarsia sp,70.04,0.976741375,-5.460085146,69.82727634,-0.742980975
Sarsia sp,44.66,2.283615291,13.19331368,42.22435217,-6.10722277
Sarsia sp,69.39,0.408896354,10.71176725,68.5599896,0.330033382
Sarsia sp,107.51,0.146232465,34.87458769,99.90109954,19.00679426
Sarsia sp,109.3,0.73114348,11.14115642,106.0507375,23.97845293
